Günler;
Çarşamba;
Salı;-0,026044204
Pazartesi;-0,000475343
Cuma;-0,01806364
Perşembe;0,023818861
Çarşamba;-0,003816578
Salı;-0,015424871
Pazartesi;-0,016429562
Cuma;-0,010392872
Perşembe;-0,000259052
Çarşamba;-0,017329524
Salı;-0,012639293
Pazartesi;0,009970302
Cuma;-0,038310696
Perşembe;-0,008236451
Çarşamba;-0,000597079
Salı;-0,005216496
Pazartesi;-0,004404228
Cuma;-0,015632514
Perşembe;-0,005013843
Çarşamba;-0,018343615
Salı;-0,009077749
Pazartesi;0,002130731
Perşembe;-0,009338406
Çarşamba;-0,001834748
Salı;-0,006637083
Pazartesi;-0,010839077
Cuma;-0,008745843
Perşembe;-0,016700271
Çarşamba;-0,015663947
Salı;-0,002061028
Pazartesi;-0,008533704
Cuma;-0,005758241
Perşembe;0,001552471
Çarşamba;0,001267127
Salı;0,002317727
Pazartesi;-0,000367086
Cuma;-0,013005193
Perşembe;-0,000772831
Çarşamba;-0,018226257
Salı;0,014446537
Pazartesi;0,001952607
Cuma;0,00507185
Perşembe;0,003511587
Çarşamba;-0,010342049
Salı;-0,005872431
Pazartesi;0,005743104
Cuma;-0,005085697
Perşembe;0,012045484
Çarşamba;0,004272111
Salı;-0,015646186
Pazartesi;0,004536429
Cuma;0,019578478
Perşembe;-0,000986798
Çarşamba;0,004180161
Salı;0,007318812
Pazartesi;0,002680397
Cuma;0,000305874
Perşembe;0,009649413
Çarşamba;-0,013040108
Salı;0,014464056
Pazartesi;0,013640951
Cuma;-0,004110912
Perşembe;0,007090087
Çarşamba;-0,003379331
Salı;-0,001398412
Cuma;-0,009446202
Perşembe;-0,006681026
Çarşamba;0,003294487
Salı;0,008625734
Pazartesi;-0,00448514
Cuma;-0,010124193
Perşembe;-0,003307347
Çarşamba;0,006734871
Salı;0,008312543
Pazartesi;-0,004415593
Cuma;-0,005243063
Perşembe;-0,002199095
Çarşamba;-0,023529014
Salı;0,018671132
Pazartesi;-0,003379712
Cuma;0,001499632
Perşembe;-0,002079162
Çarşamba;-0,012637311
Salı;-0,003535738
Pazartesi;-0,006523171
Cuma;-0,004827121
Perşembe;-0,000912176
Çarşamba;-0,022446889
Salı;-0,000882256
Pazartesi;-0,007708647
Pazartesi;0,001836561
Cuma;0,008611884
Çarşamba;0,002907862
Salı;-0,015040315
Pazartesi;0,007485796
Cuma;0,015589441
Perşembe;-0,003852785
Çarşamba;0,012737366
Salı;-0,005769607
Pazartesi;0,007249907
Cuma;-0,011533687
Perşembe;-0,002829659
Çarşamba;-0,012047985
Salı;0,01123908
Pazartesi;0,001151218
Cuma;0,013460789
Perşembe;0,013508849
Çarşamba;-0,00600043
Salı;0,005333915
Pazartesi;-0,008068781
Cuma;-0,005348488
Perşembe;0,016462597
Çarşamba;0,012061465
Salı;0,007829204
Pazartesi;0,008070991
Cuma;0,004535
Perşembe;-0,00286543
Çarşamba;-0,005168895
Salı;-0,001090874
Pazartesi;-0,000352372
Cuma;-0,009826434
Perşembe;-0,003355403
Çarşamba;0,001818907
Salı;0,000915198
Pazartesi;-0,008098119
Cuma;0,001104642
Perşembe;-0,004955792
Çarşamba;0,008465652
Salı;-0,018987017
Pazartesi;0,036436509
Cuma;-0,000234158
Perşembe;-0,001392307
Salı;0,006702461
Pazartesi;-0,003651568
Çarşamba;-0,008924005
Salı;0,002453054
Pazartesi;0,011033332
Cuma;-0,013486386
Perşembe;-0,009480528
Çarşamba;-0,005428899
Salı;-0,002644338
Pazartesi;0,00345387
Cuma;-0,016552523
Perşembe;0,002643482
Çarşamba;-0,011200398
Salı;0,004384598
Pazartesi;-0,013015368
Perşembe;-0,021220663
Çarşamba;-0,010965752
Salı;0,025812432
Pazartesi;0,008722024
Cuma;0,022195449
Perşembe;-0,000269896
Çarşamba;0,001015283
Salı;-0,02211343
Pazartesi;-0,001786311
Cuma;0,01251664
Perşembe;0,016592368
Çarşamba;0,000945513
Salı;0,001902427
Pazartesi;0,015000369
Cuma;-0,008265344
Perşembe;-0,002541351
Çarşamba;-0,024718374
Salı;0,002912986
Pazartesi;-0,002309602
Cuma;-0,007510703
Perşembe;0,008795271
Çarşamba;0,013888024
Salı;-0,026104109
Pazartesi;0,001320429
Cuma;0,103067514
Perşembe;0,014247364
Çarşamba;0,00718272
Salı;0,005305628
Pazartesi;-0,009565349
Cuma;0,001233592
Perşembe;-0,000578057
Çarşamba;0,005414198
Salı;-0,010141091
Pazartesi;-0,012262203
Cuma;0,007623114
Perşembe;-0,002558426
Çarşamba;-0,004555104
Salı;-0,001457579
Pazartesi;-0,000896518
Cuma;-0,037392146
Perşembe;0,011366523
Çarşamba;-0,003493506
Salı;0,023220899
Pazartesi;0,021346954
Cuma;0,006255344
Perşembe;-0,008967631
Çarşamba;-0,003770656
Salı;0,001446451
Pazartesi;0,012668792
Cuma;-0,015511787
Perşembe;0,004636798
Çarşamba;0,00098296
Salı;-0,00197984
Pazartesi;-0,005937087
Cuma;-0,005055398
Perşembe;0,005048883
Çarşamba;-0,000879923
Salı;-0,014529087
Pazartesi;-0,012637158
Cuma;-0,012812475
Perşembe;0,016737891
Çarşamba;-0,021124981
Salı;0,046033748
Pazartesi;0,002665524
Cuma;0,001453291
Perşembe;0,00589526
Çarşamba;0,011394199
Salı;-0,002769307
Pazartesi;-0,005279052
Cuma;-0,020953234
Perşembe;0,014399045
Çarşamba;0,008165203
Salı;-0,006272517
Pazartesi;-0,008646334
Cuma;0,002873117
Perşembe;-0,011995508
Çarşamba;-0,011111005
Salı;-0,010591155
Pazartesi;0,003933017
Perşembe;-0,012590379
Çarşamba;0,002157863
Salı;-0,013757191
Pazartesi;-0,014074148
Cuma;-0,009255577
Perşembe;-2,10376E-05
Çarşamba;-0,005865697
Salı;-0,008991675
Pazartesi;-0,014727448
Cuma;0,017109002
Perşembe;-0,006382515
Çarşamba;-0,004950204
Salı;0,002116327
Pazartesi;-0,004921075
Cuma;-0,012938479
Perşembe;-0,012731169
Çarşamba;-0,002248788
Salı;-0,00775408
Pazartesi;-0,00748377
Cuma;0,000729112
Perşembe;-1,50279E-05
Çarşamba;-0,004035633
Salı;-0,000150899
Pazartesi;-0,031978254
Cuma;0,03457055
Perşembe;0,0103025
Çarşamba;-0,012758985
Salı;-0,003393228
Pazartesi;-0,005107725
Cuma;0,007353532
Perşembe;-0,008289865
Çarşamba;-0,014035372
Salı;-0,027404982
Pazartesi;0,026067892
Cuma;-0,001315647
Perşembe;-0,015247814
Çarşamba;0,005856612
Salı;-0,028722705
Pazartesi;-0,009262394
Cuma;-0,032666408
Perşembe;-0,010067624
Çarşamba;-0,010538206
Salı;-0,014614039
Pazartesi;-0,014989555
Cuma;-0,018896714
Çarşamba;0,013057488
Salı;0,022495926
Pazartesi;-0,007122116
Cuma;0,039558407
Perşembe;0,006437997
Çarşamba;0,01094694
Salı;-0,00090837
Pazartesi;-0,004172571
Cuma;-0,010541776
Perşembe;-0,010366018
Çarşamba;0,007477712
Salı;-0,012343695
Pazartesi;0,003102359
Cuma;-0,01079339
Perşembe;-0,013133826
Çarşamba;0,001667463
Salı;0,001127435
Pazartesi;0,00604905
Cuma;-0,013601049
Perşembe;-0,001328358
Çarşamba;0,001511743
Salı;-0,019387953
Pazartesi;-0,001853486
Cuma;0,002672203
Perşembe;-0,004109235
Çarşamba;-0,015219377
Salı;-0,00590321
Pazartesi;-0,008363957
Cuma;0,022675017
Perşembe;-0,001169791
Çarşamba;-0,003201417
Salı;0,003723492
Pazartesi;-0,00356092
Cuma;-0,004153871
Perşembe;-0,003306449
Çarşamba;0,000563959
Salı;-0,009208572
Pazartesi;0,00659531
Cuma;-0,009610129
Perşembe;-0,00922944
Çarşamba;0,007008477
Salı;0,001180213
Pazartesi;-0,006081912
Cuma;0,02013688
Perşembe;0,007585532
Çarşamba;-0,008976713
Salı;-0,006261487
Pazartesi;0,014796235
Cuma;0,00129828
Perşembe;0,015129856
Çarşamba;-0,001856532
Salı;-0,029093191
Pazartesi;-0,005746667
Cuma;-0,002184302
Perşembe;0,015045451
Çarşamba;0,012572193
Salı;-0,003713649
Pazartesi;-0,031600794
Cuma;-0,013978909
Perşembe;-0,025003809
Çarşamba;0,054006162
Salı;-0,004258919
Perşembe;0,035901709
Çarşamba;0,007646615
Salı;0,014989902
Pazartesi;0,036599681
Cuma;-0,003057351
Perşembe;-0,00143557
Çarşamba;-0,008021603
Salı;-0,000321868
Pazartesi;0,010441561
Cuma;-0,004158499
Perşembe;0,00018519
Salı;-0,009021448
Pazartesi;0,00557298
Cuma;-0,030790398
Perşembe;0,008542872
Çarşamba;0,024896065
Salı;0,005259367
Pazartesi;-0,007181812
Cuma;-0,023370956
Perşembe;0,009971886
Çarşamba;-0,013719786
Salı;0,010438328
Pazartesi;-0,005870016
Cuma;-0,01019483
Perşembe;-0,004623993
Çarşamba;0,002712305
Salı;0,007746309
Pazartesi;-0,001292679
Cuma;-0,013793804
Perşembe;-0,009880358
Çarşamba;-0,013919262
Salı;0
Pazartesi;-0,012553681
Cuma;0,002543406
Perşembe;-0,006210349
Çarşamba;0,005700363
Salı;-0,00494942
Pazartesi;0,003655075
Cuma;0,003505437
Perşembe;-0,004417954
Çarşamba;-0,003896679
Salı;-0,009336741
Pazartesi;-0,007717241
Cuma;-0,016411222
Perşembe;-0,001517451
Çarşamba;-0,003860899
Cuma;-0,018560188
Perşembe;-0,003646569
Çarşamba;-0,004794767
Pazartesi;-0,001714502
Cuma;-0,021958642
Perşembe;-0,005780043
Çarşamba;0,009691476
Salı;-0,005436129
Pazartesi;-0,01848002
Cuma;0,00054182
Perşembe;0,005646047
Çarşamba;0,001746459
Salı;0,001692777
Pazartesi;0,001052738
Perşembe;0,022686417
Çarşamba;0,004785288
Salı;-0,008779011
Pazartesi;0,005545282
Cuma;-0,025078054
Çarşamba;-0,005971683
Salı;-0,005638709
Pazartesi;0,0135021
Cuma;-0,007771718
Perşembe;-0,019863945
Çarşamba;-0,004101951
Salı;0,027727401
Pazartesi;-0,022068205
Cuma;0,000746617
Perşembe;-0,006624917
Çarşamba;-0,027601602
Salı;-0,009083772
Pazartesi;-0,003372136
Cuma;-0,02772939
Perşembe;-0,000469106
Çarşamba;-0,004770553
Salı;0,006255301
Pazartesi;-0,017839227
Cuma;0,000749217
Perşembe;0,037888675
Çarşamba;-0,027300952
Salı;0,002500716
Pazartesi;-0,05810361
Cuma;0,018231295
Perşembe;-0,007029639
Çarşamba;0,004473809
Salı;0,013936578
Pazartesi;0,012710143
Cuma;0,084161843
Perşembe;-0,020778157
Çarşamba;0,075336863
Salı;0,000960258
Pazartesi;0,024059385
Cuma;0,057043029
Perşembe;0,019999221
Çarşamba;-0,009254334
Salı;0,003801943
Pazartesi;-0,035671488
Cuma;-0,012339353
Perşembe;0,040890675
Çarşamba;0,042144816
Salı;-0,007022892
Pazartesi;0,003700572
Cuma;0,017615667
Perşembe;-0,010212115
Çarşamba;0,030269985
Salı;0,00316623
Pazartesi;0,010134632
Cuma;-0,005320773
Perşembe;0,003240659
Çarşamba;-0,004089951
Salı;-0,002093002
Pazartesi;-0,012228253
Cuma;0,022335767
Perşembe;0,010431703
Çarşamba;0,000302529
Salı;-0,001513559
Pazartesi;-0,02397175
Cuma;-0,000864156
Perşembe;0,005941689
Çarşamba;-0,001344249
Salı;0,000943668
Pazartesi;0,002900582
Cuma;0,01644334
Perşembe;0,003253205
Çarşamba;0,001687819
Salı;0,006569168
Pazartesi;-0,007604352
Cuma;-0,009381662
Perşembe;-0,00390967
Çarşamba;-0,000512524
Salı;0,003994031
Pazartesi;-0,009715724
Cuma;-0,013268623
Perşembe;-0,005696095
Çarşamba;-0,044310004
Salı;-0,002448155
Pazartesi;-0,010597698
Cuma;0,020178652
Perşembe;0,019581143
Salı;-0,013084226
Pazartesi;0,00287112
Cuma;-0,009368037
Perşembe;-0,000272723
Çarşamba;-0,002854854
Salı;-0,001554208
Pazartesi;-0,008680733
Cuma;-0,008936626
Perşembe;-0,005212478
Çarşamba;-0,000217024
Salı;0,004502622
Pazartesi;0,000468047
Cuma;-0,005857338
Perşembe;-0,00328208
Çarşamba;-0,02011653
Salı;0,00082433
Pazartesi;0,007149576
Cuma;0,000762675
Perşembe;-0,001930787
Çarşamba;-0,008855669
Salı;-0,00849458
Pazartesi;0,011303974
Cuma;-0,010237028
Perşembe;0,002074476
Çarşamba;-0,0120394
Salı;0,001312392
Pazartesi;-0,00568686
Cuma;0,011379092
Perşembe;0,002033807
Çarşamba;-0,000187275
Salı;0,006943111
Pazartesi;-0,006372033
Cuma;-0,013815681
Perşembe;-0,015289955
Çarşamba;0,010038002
Salı;-0,00819928
Pazartesi;-0,008247669
Cuma;0,000339359
Perşembe;0,00378332
Çarşamba;-0,023451399
Salı;-0,006138791
Pazartesi;-0,004356654
Cuma;-0,016368956
Perşembe;6,09347E-05
Çarşamba;0,002262112
Pazartesi;0,011544983
Cuma;0,003778984
Perşembe;0,001296357
Çarşamba;-0,005606343
Salı;-0,019214335
Pazartesi;-0,005757918
Cuma;0,011147613
Perşembe;-0,036411676
Çarşamba;-0,008030387
Salı;0,011837832
Pazartesi;-0,013496366
Cuma;0,052310004
Perşembe;-0,002507483
Çarşamba;0,008758856
Salı;0,021935493
Pazartesi;0,011071521
Cuma;0,004562701
Perşembe;-0,006594027
Çarşamba;0,007028867
Salı;0,003548941
Pazartesi;0,01106708
Cuma;0,001132336
Perşembe;-0,031022518
Çarşamba;0,006628951
Salı;-0,007541669
Pazartesi;-0,018091523
Cuma;0,002157218
Perşembe;0,001017071
Çarşamba;0,01573185
Salı;-0,004749809
Pazartesi;0,011203967
Cuma;0,004687311
Perşembe;-0,006082181
Çarşamba;-0,005137777
Salı;-0,006980608
Pazartesi;-0,006025249
Cuma;-0,01621343
Perşembe;0,012957801
Çarşamba;-0,002006439
Salı;-0,012579162
Pazartesi;-0,00489936
Perşembe;-0,01666184
Çarşamba;-0,008410129
Salı;0,001271244
Pazartesi;0,011091031
Cuma;0,000494209
Perşembe;-0,018230199
Çarşamba;0,001340904
Salı;0,005324882
Pazartesi;-0,007798574
Cuma;0,004690617
Perşembe;0,008787814
Cuma;0,028841088
Perşembe;-0,001983758
Çarşamba;-0,011679912
Salı;0,015462765
Pazartesi;-0,009190156
Cuma;0,01014367
Perşembe;0,022036917
Çarşamba;0,001784472
Salı;0,005899376
Pazartesi;0,006668018
Cuma;-0,005198596
Perşembe;-0,007731318
Çarşamba;0,013742175
Salı;-0,008747077
Pazartesi;-0,014407674
Cuma;0,007490007
Perşembe;-0,002782491
Çarşamba;-0,017480532
Salı;-0,01797515
Cuma;-0,009532374
Perşembe;0,023491696
Çarşamba;-0,008293354
Salı;-0,018158496
Pazartesi;0,019273662
Cuma;0,009479222
Perşembe;-0,002542498
Çarşamba;-0,0001912
Salı;0,008398358
Pazartesi;-0,004651474
Cuma;-0,033139139
Perşembe;-0,009497202
Çarşamba;-0,007793993
Salı;0,00620232
Pazartesi;-0,002507832
Cuma;-0,012262051
Perşembe;0,001445425
Çarşamba;0,000912942
Salı;-0,000265304
Pazartesi;-0,021119577
Cuma;-0,015986179
Perşembe;-0,003155203
Çarşamba;0,022993034
Salı;0,002372839
Pazartesi;0,013663154
Cuma;-0,003129127
Pazartesi;-0,037614056
Cuma;0,002697088
Perşembe;-0,006400837
Çarşamba;-0,031899227
Salı;-0,004690634
Pazartesi;-0,01431058
Cuma;0,006141602
Perşembe;-0,017297171
Çarşamba;-0,010946737
Salı;0,019351434
Pazartesi;0,016980784
Cuma;0,000288073
Perşembe;0,004689664
Çarşamba;0,002016222
Salı;0,00733172
Pazartesi;-0,019965553
Cuma;0,025742772
Perşembe;0,001726678
Çarşamba;0,017725293
Salı;0,013314897
Pazartesi;0,016263694
Cuma;0,010314223
Perşembe;0,002477078
Salı;0,013049052
Pazartesi;-0,009276143
Cuma;0,002619932
Perşembe;-0,003000816
Çarşamba;0,017237013
Pazartesi;-0,001967777
Cuma;0,009418473
Perşembe;0,000258069
Çarşamba;0,013501735
Salı;-0,0142968
Pazartesi;-0,016844061
Cuma;0,008212675
Perşembe;0,00099974
Çarşamba;0,009757287
Salı;0,011478476
Pazartesi;-0,011859933
Cuma;0,018441377
Perşembe;-0,00452517
Çarşamba;-0,040425054
Salı;-0,009660986
Pazartesi;0,006054358
Cuma;-0,003374408
Perşembe;-0,017902191
Çarşamba;-0,002880828
Salı;0,058399335
Pazartesi;0,019796788
Cuma;0,005111454
Perşembe;0,035163505
Çarşamba;-0,000948152
Salı;0,014911023
Pazartesi;-0,002549451
Cuma;-0,012419652
Perşembe;-0,008476934
Çarşamba;-0,002296841
Salı;-0,004668552
Pazartesi;-0,008599507
Cuma;0,006798848
Perşembe;0,007310369
Çarşamba;0,011373922
Salı;0,002683607
Pazartesi;0,004443939
Cuma;-0,008927081
Perşembe;0,012156244
Çarşamba;-0,003728361
Salı;0,008995248
Pazartesi;-0,007182045
Cuma;-0,011025768
Perşembe;-0,006728925
Çarşamba;-0,005115801
Salı;-0,002248262
Pazartesi;-0,000127782
Cuma;0,009645748
Perşembe;-0,005711651
Çarşamba;-0,004750323
Salı;0,020603626
Pazartesi;0,006081967
Cuma;-0,018787385
Perşembe;0,003235303
Çarşamba;-0,001947724
Salı;-0,001326622
Pazartesi;-0,001885659
Cuma;0,006647457
Perşembe;0,010985034
Çarşamba;0,001104373
Salı;-0,000873794
Pazartesi;-0,027345073
Cuma;0,005032238
Perşembe;-0,000265259
Çarşamba;-0,016175476
Salı;-0,004644235
Pazartesi;-0,017426769
Cuma;0,005091401
Perşembe;-0,016776992
Çarşamba;-0,014628723
Salı;-0,023735896
Pazartesi;-0,012082619
Cuma;-0,003994759
Perşembe;-0,005369566
Çarşamba;-0,000427742
Salı;-0,005059014
Pazartesi;-0,008259203
Cuma;-0,012529389
Perşembe;-0,016251847
Çarşamba;0,016634523
Pazartesi;0,026703782
Cuma;-0,009190786
Perşembe;0,005953383
Çarşamba;0,000296741
Salı;-0,001891857
Pazartesi;0,007644383
Cuma;0,003642554
Perşembe;-7,6205E-05
Çarşamba;0,007581093
Salı;-0,016109091
Pazartesi;-0,012285004
Cuma;0,006282882
Perşembe;0,009432995
Çarşamba;-0,01472706
Salı;0,019247014
Pazartesi;0,004629739
Cuma;0,015834587
Perşembe;-0,009349971
Çarşamba;0,012238037
Salı;-0,000958211
Pazartesi;0,011585799
Cuma;0,004643109
Perşembe;-0,003043951
Çarşamba;-0,011152512
Salı;-0,005906578
Pazartesi;0,004747207
Cuma;-0,010258695
Perşembe;-0,004029483
Çarşamba;0,000852501
Salı;-0,011085073
Pazartesi;0,030981179
Cuma;-0,010149566
Perşembe;-0,003413356
Çarşamba;-0,00010719
Salı;-0,006215207
Pazartesi;-0,013727857
Cuma;0,015129111
Perşembe;0,007158795
Çarşamba;0,021027341
Salı;-0,008043319
Pazartesi;0,012796751
Cuma;-0,01920394
Perşembe;-0,018616161
Çarşamba;-0,023945763
Salı;-0,002230843
Cuma;0,006004161
Perşembe;0,0347965
Çarşamba;-0,011328162
Salı;0,008347662
Pazartesi;0,012894078
Cuma;0,01855267
Perşembe;0,010303893
Çarşamba;0,015648465
Salı;-0,005317626
Pazartesi;0,001674303
Cuma;-0,020216985
Perşembe;-0,019947894
Çarşamba;-0,003245435
Salı;0,023968967
Pazartesi;-0,006690237
Cuma;-0,012609477
Perşembe;-0,004076466
Çarşamba;0,028079159
Salı;0,009961741
Pazartesi;0,003823124
Cuma;0,014307981
Perşembe;0,003415631
Çarşamba;-0,011531956
Salı;0,001441235
Pazartesi;0,002564891
Cuma;-0,015784872
Perşembe;-0,019237208
Çarşamba;0,005012334
Salı;-0,017933438
Pazartesi;-0,005696636
Cuma;0,004357305
Perşembe;-0,003605055
Çarşamba;-0,023489395
Salı;0,001754995
Pazartesi;-0,007507355
Cuma;0,017040829
Perşembe;-0,005493545
Çarşamba;0,000301799
Salı;0,004280037
Pazartesi;0,007771077
Cuma;-0,012784212
Çarşamba;0,005999889
Salı;0,006262444
Pazartesi;-0,027903361
Pazartesi;-0,012101321
Cuma;-0,016219804
Perşembe;-0,018103953
Çarşamba;0,035177184
Salı;0,03436712
Pazartesi;-0,007888103
Cuma;0,024038466
Perşembe;0,023371265
Çarşamba;-0,002173477
Salı;-0,008419031
Pazartesi;-0,020879735
Cuma;0,015133282
Perşembe;-0,01122266
Çarşamba;0,027829116
Salı;-0,002667863
Pazartesi;-0,008223339
Cuma;-0,005976768
Perşembe;-0,008067186
Çarşamba;0,00580486
Salı;-0,034509539
Pazartesi;0,033838236
Cuma;-0,012915533
Perşembe;-0,011534992
Çarşamba;-0,007349284
Salı;-0,007523737
Pazartesi;-0,020797556
Cuma;0,001714522
Perşembe;-0,003644087
Çarşamba;0,018998692
Salı;0,053178381
Pazartesi;0,030463466
