Günler;Şimdi
Çarşamba;1.857,40
Salı;1.809,65
Pazartesi;1.808,79
Cuma;1.776,41
Perşembe;1.819,23
Çarşamba;1.812,30
Salı;1.784,56
Pazartesi;1.755,48
Cuma;1.737,33
Perşembe;1.736,88
Çarşamba;1.707,04
Salı;1.685,60
Pazartesi;1.702,49
Cuma;1.638,50
Perşembe;1.625,06
Çarşamba;1.624,09
Salı;1.615,64
Pazartesi;1.608,54
Cuma;1.583,59
Perşembe;1.575,67
Çarşamba;1.547,03
Salı;1.533,05
Pazartesi;1.536,32
Perşembe;1.522,04
Çarşamba;1.519,25
Salı;1.509,20
Pazartesi;1.492,93
Cuma;1.479,93
Perşembe;1.455,42
Çarşamba;1.432,80
Salı;1.429,85
Pazartesi;1.417,70
Cuma;1.409,56
Perşembe;1.411,75
Çarşamba;1.413,54
Salı;1.416,82
Pazartesi;1.416,30
Cuma;1.398,00
Perşembe;1.396,92
Çarşamba;1.371,69
Salı;1.391,65
Pazartesi;1.394,37
Cuma;1.401,46
Perşembe;1.406,39
Çarşamba;1.391,92
Salı;1.383,77
Pazartesi;1.391,74
Cuma;1.384,68
Perşembe;1.401,46
Çarşamba;1.407,46
Salı;1.385,61
Pazartesi;1.391,91
Cuma;1.419,43
Perşembe;1.418,03
Çarşamba;1.423,97
Salı;1.434,43
Pazartesi;1.438,28
Cuma;1.438,72
Perşembe;1.452,67
Çarşamba;1.433,85
Salı;1.454,74
Pazartesi;1.474,72
Cuma;1.468,67
Perşembe;1.479,12
Çarşamba;1.474,13
Salı;1.472,07
Cuma;1.458,23
Perşembe;1.448,52
Çarşamba;1.453,30
Salı;1.465,89
Pazartesi;1.459,33
Cuma;1.444,63
Perşembe;1.439,86
Çarşamba;1.449,59
Salı;1.461,69
Pazartesi;1.455,25
Cuma;1.447,64
Perşembe;1.444,46
Çarşamba;1.410,87
Salı;1.437,46
Pazartesi;1.432,61
Cuma;1.434,76
Perşembe;1.431,78
Çarşamba;1.413,80
Salı;1.408,81
Pazartesi;1.399,65
Cuma;1.392,91
Perşembe;1.391,64
Çarşamba;1.360,75
Salı;1.359,55
Pazartesi;1.349,11
Pazartesi;1.351,59
Cuma;1.363,28
Çarşamba;1.367,25
Salı;1.346,84
Pazartesi;1.356,96
Cuma;1.378,28
Perşembe;1.372,98
Çarşamba;1.390,58
Salı;1.382,58
Pazartesi;1.392,64
Cuma;1.376,67
Perşembe;1.372,78
Çarşamba;1.356,34
Salı;1.371,67
Pazartesi;1.373,25
Cuma;1.391,86
Perşembe;1.410,79
Çarşamba;1.402,35
Salı;1.409,85
Pazartesi;1.398,52
Cuma;1.391,06
Perşembe;1.414,15
Çarşamba;1.431,31
Salı;1.442,56
Pazartesi;1.454,25
Cuma;1.460,86
Perşembe;1.456,68
Çarşamba;1.449,17
Salı;1.447,59
Pazartesi;1.447,08
Cuma;1.432,93
Perşembe;1.428,13
Çarşamba;1.430,73
Salı;1.432,04
Pazartesi;1.420,49
Cuma;1.422,06
Perşembe;1.415,03
Çarşamba;1.427,06
Salı;1.400,22
Pazartesi;1.452,18
Cuma;1.451,84
Perşembe;1.449,82
Salı;1.459,57
Pazartesi;1.454,25
Çarşamba;1.441,33
Salı;1.444,87
Pazartesi;1.460,90
Cuma;1.441,33
Perşembe;1.427,73
Çarşamba;1.420,00
Salı;1.416,25
Pazartesi;1.421,15
Cuma;1.397,82
Perşembe;1.401,52
Çarşamba;1.385,91
Salı;1.392,00
Pazartesi;1.374,00
Perşembe;1.345,15
Çarşamba;1.330,48
Salı;1.365,27
Pazartesi;1.377,23
Cuma;1.408,14
Perşembe;1.407,76
Çarşamba;1.409,19
Salı;1.378,37
Pazartesi;1.375,91
Cuma;1.393,24
Perşembe;1.416,55
Çarşamba;1.417,89
Salı;1.420,59
Pazartesi;1.442,06
Cuma;1.430,19
Perşembe;1.426,56
Çarşamba;1.391,73
Salı;1.395,79
Pazartesi;1.392,57
Cuma;1.382,15
Perşembe;1.394,36
Çarşamba;1.413,86
Salı;1.377,43
Pazartesi;1.379,25
Cuma;1.528,99
Perşembe;1.550,93
Çarşamba;1.562,11
Salı;1.570,42
Pazartesi;1.555,47
Cuma;1.557,39
Perşembe;1.556,49
Çarşamba;1.564,94
Salı;1.549,15
Pazartesi;1.530,27
Cuma;1.541,98
Perşembe;1.538,04
Çarşamba;1.531,05
Salı;1.528,82
Pazartesi;1.527,45
Cuma;1.471,39
Perşembe;1.488,21
Çarşamba;1.483,02
Salı;1.517,86
Pazartesi;1.550,61
Cuma;1.560,34
Perşembe;1.546,41
Çarşamba;1.540,59
Salı;1.542,82
Pazartesi;1.562,49
Cuma;1.538,44
Perşembe;1.545,59
Çarşamba;1.547,11
Salı;1.544,05
Pazartesi;1.534,91
Cuma;1.527,17
Perşembe;1.534,90
