Gün;Getiri
Salı;-0,002716558
Çarşamba;-0,007215203
Perşembe;-0,032976853
Cuma;-0,052957213
Pazartesi;-0,073400048
Salı;0,012865397
Çarşamba;-0,051391683
Perşembe;0,033406478
Cuma;0,003301156
Pazartesi;0,024529496
Salı;0,011377491
Çarşamba;0,002234225
Perşembe;-0,042808239
Cuma;0,021256324
Pazartesi;0,004231358
Salı;-0,016575906
Çarşamba;0,012212618
Perşembe;-0,001641154
Cuma;0,013874009
Pazartesi;0,00442158
Cuma;0,026144682
Pazartesi;-0,024126182
Salı;0,017694709
Çarşamba;0,003954367
Perşembe;0,025981985
Cuma;-0,014015061
Pazartesi;-0,005344921
Salı;0,018636514
Çarşamba;-0,009381747
Perşembe;0,017556395
Cuma;0,013581282
Pazartesi;0,000621601
Salı;0,049765364
Çarşamba;-0,001002325
Perşembe;-0,047952086
Cuma;-0,028995146
Pazartesi;0,008450954
Salı;0,025378985
Çarşamba;0,012401118
Perşembe;0,01296904
Cuma;-0,001088312
Pazartesi;-0,003910943
Salı;-0,038592589
Çarşamba;0,001781349
Perşembe;-0,001431814
Cuma;0,001920258
Pazartesi;0,017101232
Salı;0,005743998
Çarşamba;0,012804619
Perşembe;-0,014869343
Cuma;0,012847779
Pazartesi;-0,014574497
Salı;0,005273365
Çarşamba;-0,0163367
Perşembe;-0,033317653
Cuma;0,015741649
Pazartesi;-0,009429442
Salı;0,000337667
Çarşamba;-0,014461361
Perşembe;0,020466959
Cuma;0,007478545
Pazartesi;-0,017347455
Salı;-0,021801734
Çarşamba;0,015718446
Perşembe;0,014290539
Cuma;-0,006086813
Perşembe;-0,011439335
Cuma;0,011813064
Pazartesi;-0,0057996
Salı;0,000840795
Çarşamba;7,15244E-05
Perşembe;-0,015079057
Cuma;-0,011244688
Pazartesi;-0,032121837
Salı;-0,014627235
Çarşamba;-0,017346522
Perşembe;-0,029193645
Cuma;0,028782538
Pazartesi;0,023473575
Salı;-0,003659814
Çarşamba;0,04550034
Perşembe;-0,013127352
Cuma;0,01772077
Pazartesi;0,007766146
Salı;-0,009410763
Çarşamba;0,008377546
Perşembe;-0,030194308
Cuma;0,006260851
Pazartesi;-0,02617788
Salı;0,002057222
Çarşamba;-0,023352458
Perşembe;0,010598307
Cuma;-0,004249079
Pazartesi;-0,018045955
Salı;0,026929079
Çarşamba;-0,007316589
Perşembe;-0,002999838
Cuma;0,006895846
Pazartesi;0,010874459
Salı;0,000837473
Çarşamba;-0,019363995
Perşembe;0,009671237
Cuma;-0,015234371
Pazartesi;0,001442383
Salı;0,029138338
Çarşamba;-0,025405612
Perşembe;-0,006385196
Cuma;-0,02016086
Pazartesi;-0,006918644
Salı;0,018784281
Çarşamba;0,012290745
Perşembe;0,014368174
Cuma;-0,011415913
Pazartesi;0,023669404
Salı;0,013769192
Çarşamba;0,015864817
Perşembe;0,004092012
Cuma;0,005132572
Pazartesi;0,005396334
Salı;-0,007183351
Çarşamba;0,002333426
Perşembe;0,036472338
Cuma;0,006963183
Pazartesi;0,007901473
Salı;-0,01114959
Çarşamba;0,035144999
Perşembe;0,014019078
Cuma;0,001597338
Pazartesi;0,00872356
Salı;-0,002128345
Çarşamba;0,010384241
Perşembe;-0,016730102
Cuma;-0,013908756
Pazartesi;0,020436281
Salı;-0,014889768
Çarşamba;0,003112713
Perşembe;0,003036423
Cuma;0,017847445
Pazartesi;0,00551568
Salı;-0,003194735
Çarşamba;-0,00650241
Perşembe;-0,019731314
Cuma;0,00118923
Pazartesi;-0,015452399
Salı;0,019461894
Çarşamba;0,012311774
Perşembe;8,23404E-05
Cuma;0,002894072
Pazartesi;-0,020185282
Salı;-0,009122492
Çarşamba;0,005681881
Perşembe;0,003256293
Cuma;-0,006624434
Pazartesi;-0,004582006
Salı;0,006419049
Çarşamba;0,024072695
Perşembe;0,007255488
Cuma;0,017101901
Pazartesi;0,003219274
Salı;-0,005982328
Çarşamba;-0,001593831
Perşembe;-0,004489237
Cuma;-0,006006317
Pazartesi;0,018455411
Salı;-0,001119534
Çarşamba;-0,010876493
Perşembe;-0,004377439
Cuma;0,014165183
Pazartesi;0,008708745
Salı;0,005005792
Çarşamba;-0,013057943
Perşembe;-0,006440393
Cuma;-0,018260225
Pazartesi;-0,002086192
Salı;-0,01365904
Çarşamba;0,011963887
Perşembe;0,002960528
Cuma;-0,005054632
Pazartesi;-0,001734663
Salı;0,002889436
Çarşamba;-0,008626953
Perşembe;-0,004734131
Cuma;0,004584449
Salı;-0,006959946
Çarşamba;0,003928227
Perşembe;0,012220449
Cuma;-0,001335807
Pazartesi;-0,009734172
Çarşamba;-0,017923374
Perşembe;0,00578535
Cuma;-0,004564597
Pazartesi;-0,003496685
Salı;-0,001037777
Çarşamba;-0,011228957
Perşembe;0,012453759
Cuma;0,000883647
Pazartesi;-0,017459986
Salı;-0,006955373
Çarşamba;0,011215653
Perşembe;-0,013341386
Cuma;-0,00691366
Pazartesi;-0,006979478
Salı;0,009487921
Çarşamba;-0,0238459
Perşembe;-0,014767419
Cuma;-0,001950295
Pazartesi;0,000620132
Salı;0,010988922
Çarşamba;-0,00587838
Perşembe;-0,000471767
Cuma;0,008475929
Pazartesi;0,003162285
Salı;0,001004088
Çarşamba;0,007996616
Perşembe;0,007933177
Cuma;0,010596962
Pazartesi;0,003571277
Salı;0,012030636
Çarşamba;0,000841556
Perşembe;0,001972303
Cuma;0,001763201
Pazartesi;-0,002448778
Salı;0,016578488
Çarşamba;0,001701755
Perşembe;0,017340076
Cuma;0,000181982
Pazartesi;-0,01620981
Salı;0,010835683
Çarşamba;0,017426726
Perşembe;-0,005917711
Cuma;0,027886313
Pazartesi;-0,00951057
Salı;0,01235257
Çarşamba;0,00421616
Perşembe;-0,016229809
Cuma;0,01296981
Pazartesi;-0,002759414
Salı;0,00820798
Çarşamba;-0,001188844
Perşembe;-0,011549572
Cuma;0,005392574
Pazartesi;0,000207441
Salı;-0,003228181
Çarşamba;-0,000448294
Perşembe;-0,001666854
Cuma;-0,008845409
Pazartesi;-0,017220839
Salı;0,009275714
Çarşamba;0,006584801
Perşembe;0,033982035
Cuma;0,008298673
Pazartesi;0,010185166
Salı;-0,011942103
Çarşamba;-0,002789446
Perşembe;-0,004739605
Cuma;0,023644987
Pazartesi;0,004171735
Salı;-0,009792056
Çarşamba;-0,003687223
Perşembe;-0,003065018
